Month,Asian Civilisations Museum,National Museum Of Singapore,Singapore Art Museum,Peranakan Museum,Science Centre Singapore,Mandai Bird Paradise,Night Safari,River Wonders,Singapore Zoological Gardens,Chinese/Japanese Gardens,Sun Yat Sen Nanyang Memorial Hall,Indian Heritage Centre,Malay Heritage Centre,Children's Museum Singapore,Changi Chapel And Museum,Reflections At Bukit Chandu
1990-4,na,na,na,na,41.8,na,na,na,100.9,28.8,na,na,na,na,na,na
1990-5,na,na,na,na,56.3,na,na,na,115.6,26.1,na,na,na,na,na,na
1990-6,na,na,na,na,84.1,na,na,na,107.3,22.7,na,na,na,na,na,na
1990-7,na,na,na,na,40.4,na,na,na,98.7,23.9,na,na,na,na,na,na
1990-8,na,na,na,na,44.6,na,na,na,102.4,27.2,na,na,na,na,na,na
1990-9,na,na,na,na,30.2,na,na,na,103.2,112.7,na,na,na,na,na,na
1990-10,na,na,na,na,27.2,na,na,na,113.8,106.9,na,na,na,na,na,na
1990-11,na,na,na,na,55.4,na,na,na,174.3,22.8,na,na,na,na,na,na
1990-12,na,28.1,na,na,35.7,na,na,na,153.8,20.4,na,na,na,na,na,na
1991-1,na,19.1,na,na,20.2,na,na,na,62.6,13.3,na,na,na,na,na,na
1991-2,na,18.4,na,na,28.8,na,na,na,93.3,33.3,na,na,na,na,na,na
1991-3,na,27.4,na,na,61.5,na,na,na,95.5,14.9,na,na,na,na,na,na
1991-4,na,21.7,na,na,37.1,na,na,na,81.5,14.8,na,na,na,na,na,na
1991-5,na,16.3,na,na,68.4,na,na,na,95.1,12.9,na,na,na,na,na,na
1991-6,na,20.5,na,na,44.8,na,na,na,116,16.4,na,na,na,na,na,na
1991-7,na,17.1,na,na,37.8,na,na,na,73.8,31.5,na,na,na,na,na,na
1991-8,na,20.8,na,na,32.5,na,na,na,99.6,19.5,na,na,na,na,na,na
1991-9,na,19.2,na,na,41,na,na,na,110.7,164.8,na,na,na,na,na,na
1991-10,na,20,na,na,41.2,na,na,na,69.8,15.1,na,na,na,na,na,na
1991-11,na,34.2,na,na,90.1,na,na,na,148.6,34.3,na,na,na,na,na,na
1991-12,na,21,na,na,39.7,na,na,na,118,24.7,na,na,na,na,na,na
1992-1,na,15.5,na,na,20.6,na,na,na,69.5,10.7,na,na,na,na,na,na
1992-2,na,23.9,na,na,31.8,na,na,na,122.6,24.8,na,na,na,na,na,na
1992-3,na,24.8,na,na,40.4,na,na,na,98,17.1,na,na,na,na,na,na
1992-4,na,21.9,na,na,37.1,na,na,na,98.9,18.9,na,na,na,na,na,na
1992-5,na,29.8,na,na,62.4,na,na,na,113.1,17.6,na,na,na,na,na,na
1992-6,na,19.5,na,na,51.4,na,na,na,144.6,26,na,na,na,na,na,na
1992-7,na,17.6,na,na,40,na,na,na,112.3,19,na,na,na,na,na,na
1992-8,na,21.6,na,na,44.2,na,na,na,130.2,21,na,na,na,na,na,na
1992-9,na,19.3,na,na,34.2,na,na,na,112.1,117.3,na,na,na,na,na,na
1992-10,na,12.3,na,na,35.6,na,na,na,109.6,18.5,na,na,na,na,na,na
1992-11,na,21.7,na,na,76.4,na,na,na,140.6,32.1,na,na,na,na,na,na
1992-12,na,9.9,na,na,40.9,na,na,na,103.8,27.9,na,na,na,na,na,na
1993-1,na,15.2,na,na,25.3,na,na,na,124.2,31.6,na,na,na,na,na,na
1993-2,na,18.9,na,na,28.3,na,na,na,71.3,13.4,na,na,na,na,na,na
1993-3,na,26.7,na,na,50.5,na,na,na,109.9,16.6,na,na,na,na,na,na
1993-4,na,21.4,na,na,38.7,na,na,na,102,11.8,na,na,na,na,na,na
1993-5,na,22.1,na,na,64.4,na,na,na,135.4,11.2,na,na,na,na,na,na
1993-6,na,27.7,na,na,55.8,na,na,na,181.3,23,na,na,na,na,na,na
1993-7,na,27.1,na,na,41.9,na,na,na,112.2,13,na,na,na,na,na,na
1993-8,na,16.3,na,na,37.6,na,na,na,146.1,17.2,na,na,na,na,na,na
